species,filename,duration,sample_rate,archive
ANPA,ANPA-28361845.wav,6.0,384000,ANPA.zip
ANPA,ANPA-3057970.wav,2.999022,500000,ANPA.zip
ANPA,ANPA-29718948.wav,4.998666666666667,192000,ANPA.zip
ANPA,ANPA-2155119.wav,6.0,384000,ANPA.zip
ANPA,ANPA-64892223.wav,5.0,500000,ANPA.zip
ANPA,ANPA-4118001.wav,4.998976,500000,ANPA.zip
ANPA,ANPA-54319821.wav,5.245333333333333,384000,ANPA.zip
ANPA,ANPA-29181132.wav,7.052,256000,ANPA.zip
ANPA,ANPA-31606801.wav,4.99992,500000,ANPA.zip
ANPA,ANPA-28539160.wav,6.0,384000,ANPA.zip
ANPA,ANPA-3062323.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-2862582.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-73643124.wav,5.0,256000,ANPA.zip
ANPA,ANPA-3049891.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-60370121.wav,3.096,256000,ANPA.zip
ANPA,ANPA-2808761.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-60370138.wav,7.896,256000,ANPA.zip
ANPA,ANPA-73627215.wav,5.0,256000,ANPA.zip
ANPA,ANPA-73627385.wav,5.0,256000,ANPA.zip
ANPA,ANPA-3038010.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-64897928.wav,5.0,500000,ANPA.zip
ANPA,ANPA-29764099.wav,5.004,192000,ANPA.zip
ANPA,ANPA-2807513.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-1505268.wav,4.99837,300000,ANPA.zip
ANPA,ANPA-73632748.wav,2.510666666666667,192000,ANPA.zip
ANPA,ANPA-64888173.wav,5.0,500000,ANPA.zip
ANPA,ANPA-2074680.wav,6.0,384000,ANPA.zip
ANPA,ANPA-54319820.wav,6.0,384000,ANPA.zip
ANPA,ANPA-29168411.wav,7.688,256000,ANPA.zip
ANPA,ANPA-263939.wav,6.56,256000,ANPA.zip
ANPA,ANPA-1325641.wav,7.496,256000,ANPA.zip
ANPA,ANPA-28488552.wav,5.0,192000,ANPA.zip
ANPA,ANPA-28994033.wav,4.810666666666667,192000,ANPA.zip
ANPA,ANPA-30488880.wav,6.0,384000,ANPA.zip
ANPA,ANPA-31857782.wav,4.99992,500000,ANPA.zip
ANPA,ANPA-54316337.wav,6.0,384000,ANPA.zip
ANPA,ANPA-64872915.wav,5.0,500000,ANPA.zip
ANPA,ANPA-28362705.wav,6.0,384000,ANPA.zip
ANPA,ANPA-28322824.wav,5.004,192000,ANPA.zip
ANPA,ANPA-56652879.wav,6.0,384000,ANPA.zip
ANPA,ANPA-2154662.wav,6.0,384000,ANPA.zip
ANPA,ANPA-31621568.wav,4.99992,500000,ANPA.zip
ANPA,ANPA-54311222.wav,4.168,384000,ANPA.zip
ANPA,ANPA-28332353.wav,6.0,384000,ANPA.zip
ANPA,ANPA-29756702.wav,5.004,192000,ANPA.zip
ANPA,ANPA-29049604.wav,4.998976,500000,ANPA.zip
ANPA,ANPA-3050820.wav,2.999022,500000,ANPA.zip
ANPA,ANPA-1346881.wav,4.99837,300000,ANPA.zip
ANPA,ANPA-3062857.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-1513109.wav,4.99837,300000,ANPA.zip
ANPA,ANPA-73639970.wav,5.0,256000,ANPA.zip
ANPA,ANPA-54419478.wav,7.196,256000,ANPA.zip
ANPA,ANPA-3051417.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-63085611.wav,6.0,384000,ANPA.zip
ANPA,ANPA-3047574.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-1367646.wav,4.99837,300000,ANPA.zip
ANPA,ANPA-54315615.wav,4.557333333333333,384000,ANPA.zip
ANPA,ANPA-31860132.wav,4.99992,500000,ANPA.zip
ANPA,ANPA-73573608.wav,5.004,192000,ANPA.zip
ANPA,ANPA-1452204.wav,7.852,256000,ANPA.zip
ANPA,ANPA-2151640.wav,6.0,384000,ANPA.zip
ANPA,ANPA-73627162.wav,4.188,256000,ANPA.zip
ANPA,ANPA-56652652.wav,6.0,384000,ANPA.zip
ANPA,ANPA-33846255.wav,6.0,384000,ANPA.zip
ANPA,ANPA-269180.wav,3.394,256000,ANPA.zip
ANPA,ANPA-28624385.wav,6.0,384000,ANPA.zip
ANPA,ANPA-28368526.wav,6.0,384000,ANPA.zip
ANPA,ANPA-28993452.wav,4.636,192000,ANPA.zip
ANPA,ANPA-29758887.wav,5.004,192000,ANPA.zip
ANPA,ANPA-29876186.wav,5.004,192000,ANPA.zip
ANPA,ANPA-64892070.wav,5.0,500000,ANPA.zip
ANPA,ANPA-64952922.wav,6.0,384000,ANPA.zip
ANPA,ANPA-60370129.wav,7.022,256000,ANPA.zip
ANPA,ANPA-64895323.wav,5.0,500000,ANPA.zip
ANPA,ANPA-31854847.wav,4.99992,500000,ANPA.zip
ANPA,ANPA-3038529.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-1379672.wav,4.99837,300000,ANPA.zip
ANPA,ANPA-28994120.wav,3.8826666666666663,192000,ANPA.zip
ANPA,ANPA-32902472.wav,5.484,256000,ANPA.zip
ANPA,ANPA-28373783.wav,6.0,384000,ANPA.zip
ANPA,ANPA-12632107.wav,4.998976,500000,ANPA.zip
ANPA,ANPA-3051996.wav,2.999022,500000,ANPA.zip
ANPA,ANPA-28548644.wav,6.0,384000,ANPA.zip
ANPA,ANPA-64861950.wav,5.0,500000,ANPA.zip
ANPA,ANPA-28992522.wav,4.965333333333334,192000,ANPA.zip
ANPA,ANPA-103486.wav,7.004,256000,ANPA.zip
ANPA,ANPA-12631852.wav,4.998976,500000,ANPA.zip
ANPA,ANPA-64897886.wav,5.0,500000,ANPA.zip
ANPA,ANPA-54309436.wav,6.0,384000,ANPA.zip
ANPA,ANPA-1504353.wav,4.99837,300000,ANPA.zip
ANPA,ANPA-32899877.wav,7.062,256000,ANPA.zip
ANPA,ANPA-54316107.wav,6.0,384000,ANPA.zip
ANPA,ANPA-64895321.wav,5.0,500000,ANPA.zip
ANPA,ANPA-54299581.wav,6.0,384000,ANPA.zip
ANPA,ANPA-2858523.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-29168030.wav,4.566,256000,ANPA.zip
ANPA,ANPA-28593653.wav,6.0,384000,ANPA.zip
ANPA,ANPA-54319815.wav,6.0,384000,ANPA.zip
ANPA,ANPA-2151816.wav,5.318666666666667,384000,ANPA.zip
ANPA,ANPA-73643053.wav,4.842,256000,ANPA.zip
ANPA,ANPA-31607479.wav,4.99992,500000,ANPA.zip
ANPA,ANPA-64895476.wav,3.0,500000,ANPA.zip
ANPA,ANPA-2152945.wav,6.0,384000,ANPA.zip
ANPA,ANPA-29788718.wav,5.004,192000,ANPA.zip
ANPA,ANPA-28580464.wav,6.0,384000,ANPA.zip
ANPA,ANPA-74443346.wav,6.0,384000,ANPA.zip
ANPA,ANPA-64952921.wav,6.0,384000,ANPA.zip
ANPA,ANPA-73643012.wav,5.0,256000,ANPA.zip
ANPA,ANPA-264232.wav,7.336,256000,ANPA.zip
ANPA,ANPA-64870552.wav,5.0,500000,ANPA.zip
ANPA,ANPA-29764326.wav,5.004,192000,ANPA.zip
ANPA,ANPA-54310826.wav,6.0,384000,ANPA.zip
ANPA,ANPA-28496526.wav,5.0,192000,ANPA.zip
ANPA,ANPA-1333953.wav,3.274,256000,ANPA.zip
ANPA,ANPA-28390444.wav,4.998976,500000,ANPA.zip
ANPA,ANPA-28992493.wav,4.892,192000,ANPA.zip
ANPA,ANPA-2151231.wav,6.0,384000,ANPA.zip
ANPA,ANPA-74443217.wav,6.0,384000,ANPA.zip
ANPA,ANPA-60370125.wav,6.658,256000,ANPA.zip
ANPA,ANPA-64874840.wav,5.0,500000,ANPA.zip
ANPA,ANPA-2858568.wav,2.999022,500000,ANPA.zip
ANPA,ANPA-64869243.wav,5.0,500000,ANPA.zip
ANPA,ANPA-32902471.wav,8.026,256000,ANPA.zip
ANPA,ANPA-31676739.wav,4.99992,500000,ANPA.zip
ANPA,ANPA-2864393.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-31856947.wav,4.99992,500000,ANPA.zip
ANPA,ANPA-28353522.wav,5.556,384000,ANPA.zip
ANPA,ANPA-54319816.wav,6.0,384000,ANPA.zip
ANPA,ANPA-31628799.wav,4.99992,500000,ANPA.zip
ANPA,ANPA-64880581.wav,5.0,500000,ANPA.zip
ANPA,ANPA-267555.wav,7.808,256000,ANPA.zip
ANPA,ANPA-264124.wav,6.486,256000,ANPA.zip
ANPA,ANPA-2150941.wav,3.0946666666666665,384000,ANPA.zip
ANPA,ANPA-1324483.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-31637499.wav,2.99992,500000,ANPA.zip
ANPA,ANPA-73642555.wav,5.0,256000,ANPA.zip
ANPA,ANPA-73642938.wav,5.0,256000,ANPA.zip
ANPA,ANPA-28354503.wav,6.0,384000,ANPA.zip
ANPA,ANPA-64886529.wav,5.0,500000,ANPA.zip
ANPA,ANPA-28486387.wav,5.0,192000,ANPA.zip
ANPA,ANPA-64870553.wav,5.0,500000,ANPA.zip
ANPA,ANPA-270686.wav,7.21,256000,ANPA.zip
ANPA,ANPA-270674.wav,5.15,256000,ANPA.zip
ANPA,ANPA-3013747.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-3803722.wav,6.0,384000,ANPA.zip
ANPA,ANPA-28441331.wav,4.998666666666667,192000,ANPA.zip
ANPA,ANPA-54316440.wav,6.0,384000,ANPA.zip
ANPA,ANPA-28341027.wav,6.0,384000,ANPA.zip
ANPA,ANPA-1324492.wav,4.999022,500000,ANPA.zip
ANPA,ANPA-73615338.wav,5.0,256000,ANPA.zip
ANPA,ANPA-28489325.wav,5.0,192000,ANPA.zip
ANPA,ANPA-60370139.wav,7.348,256000,ANPA.zip
ANPA,ANPA-64862314.wav,5.0,500000,ANPA.zip
ANPA,ANPA-64872818.wav,3.0,500000,ANPA.zip
ANPA,ANPA-73617622.wav,4.272,256000,ANPA.zip
ANPA,ANPA-28343721.wav,6.0,384000,ANPA.zip
ANPA,ANPA-28465511.wav,5.0,192000,ANPA.zip
ANPA,ANPA-73627240.wav,5.0,256000,ANPA.zip
ANPA,ANPA-12632740.wav,4.998976,500000,ANPA.zip
ANPA,ANPA-28498742.wav,5.0,192000,ANPA.zip
ANPA,ANPA-73546021.wav,3.894,256000,ANPA.zip
